game_variant,claude-3-7-sonnet-20250219,gemini-2.5-flash-preview-04-17,gemini-2.5-pro-preview-05-06,gpt-4o,gpt-4o-mini
illegal-material_hard,1.0,1.0,1.0,1.0,1.0
key-combo_base,1.0,1.0,1.0,1.0,1.0
key-combo_easy,1.0,1.0,1.0,1.0,1.0
key-combo_hard,1.0,1.0,1.0,1.0,1.0
ladybird_base,0.0,0.0,0.0,0.0,0.0
ladybird_easy,0.0,1.0,0.0,0.0,0.0
ladybird_hard,0.0,0.0,0.0,0.0,0.0
map-panner_easy,0.0,0.0,0.0,0.0,0.0
map-panner_hard,0.0,0.0,0.0,0.0,0.0
maze_base,1.0,1.0,1.0,1.0,1.0
maze_easy,1.0,1.0,1.0,1.0,1.0
maze_hard,1.0,0.0,1.0,1.0,0.0
menu-navigator_base,1.0,1.0,0.0,0.0,0.0
menu-navigator_easy,1.0,1.0,1.0,1.0,1.0
menu-navigator_hard,1.0,1.0,1.0,0.0,1.0
otp-entry_base,1.0,1.0,1.0,1.0,1.0
otp-entry_easy,1.0,1.0,1.0,1.0,1.0
otp-entry_hard,1.0,0.0,1.0,0.0,0.0
patience_base,1.0,1.0,1.0,1.0,1.0
patience_easy,1.0,1.0,1.0,1.0,1.0
patience_hard,1.0,1.0,1.0,1.0,1.0
pixel-copy_easy,1.0,0.0,0.0,0.0,0.0
pixel-copy_hard,0.0,0.0,0.0,0.0,0.0
popup-chaos_easy,1.0,1.0,1.0,1.0,1.0
popup-chaos_hard,1.0,1.0,1.0,1.0,1.0
prompt-defender_base,1.0,0.0,0.0,0.0,0.0
prompt-defender_easy,1.0,1.0,1.0,1.0,1.0
prompt-defender_hard,1.0,1.0,0.0,0.0,0.0
recipe-calculator_base,1.0,0.0,1.0,0.0,0.0
recipe-calculator_easy,0.0,0.0,0.0,0.0,0.0
recipe-calculator_hard,0.0,0.0,0.0,0.0,0.0
right-click_base,0.0,0.0,0.0,0.0,0.0
right-click_easy,0.0,0.0,0.0,0.0,0.0
right-click_hard,0.0,0.0,0.0,0.0,0.0
robo-check_easy,0.0,0.0,0.0,0.0,0.0
robo-check_hard,0.0,0.0,0.0,0.0,0.0
scroll-diagonal_base,0.0,0.0,0.0,0.0,0.0
scroll-diagonal_easy,1.0,1.0,1.0,1.0,1.0
scroll-diagonal_hard,0.0,0.0,0.0,0.0,0.0
scroll-horizontal_easy,0.0,0.0,0.0,0.0,0.0
scroll-horizontal_hard,0.0,0.0,0.0,0.0,0.0
scroll-vertical_base,1.0,1.0,1.0,1.0,1.0
scroll-vertical_easy,1.0,1.0,1.0,1.0,0.0
scroll-vertical_hard,1.0,1.0,1.0,1.0,0.0
shop-admin_base,1.0,1.0,1.0,1.0,1.0
shop-admin_easy,1.0,1.0,1.0,1.0,1.0
shop-admin_hard,0.0,0.0,0.0,0.0,0.0
shopping-challenge_base,0.0,0.0,0.0,0.0,0.0
shopping-challenge_easy,1.0,1.0,1.0,1.0,0.0
shopping-challenge_hard,0.0,0.0,0.0,0.0,0.0
slider-symphony_base,0.0,0.0,0.0,0.0,0.0
slider-symphony_easy,0.0,0.0,0.0,0.0,0.0
slider-symphony_hard,0.0,0.0,0.0,0.0,0.0
stock-market_base,1.0,1.0,1.0,0.0,0.0
stock-market_easy,1.0,1.0,1.0,1.0,1.0
stock-market_hard,1.0,1.0,1.0,1.0,1.0
tab-sync_easy,0.0,0.0,0.0,0.0,0.0
tab-sync_hard,0.0,0.0,0.0,0.0,0.0
text-mirror_base,1.0,1.0,1.0,1.0,1.0
text-mirror_easy,1.0,1.0,1.0,1.0,1.0
text-mirror_hard,0.0,0.0,0.0,0.0,0.0
towers-of-hanoi_base,0.0,0.0,0.0,0.0,0.0
towers-of-hanoi_easy,0.0,0.0,1.0,1.0,0.0
towers-of-hanoi_hard,0.0,0.0,0.0,0.0,0.0
verify-challenge_easy,0.5,0.5,0.5,0.5,0.5
webgl-text_base,1.0,1.0,1.0,1.0,1.0
webgl-text_easy,1.0,1.0,1.0,1.0,1.0
webgl-text_hard,1.0,1.0,1.0,1.0,1.0
wolf-goat-cabbage_base,1.0,0.0,1.0,0.0,0.0
wolf-goat-cabbage_easy,1.0,1.0,1.0,1.0,0.0
wolf-goat-cabbage_hard,0.0,0.0,0.0,0.0,0.0
