game,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219-computeruse,gemini-2.5-pro-preview-05-06,gemini-2.5-pro-preview-05-06-textonly,gemini-2.5-flash-preview-04-17,gpt-4o,gpt-4o-mini,qwen2.5-vl-72b-instruct,qwen2.5-vl-32b-instruct,qwen2.5-vl-7b-instruct
combination-lock-easy,0,0,0,0,0,0,0,0,0,0
combination-lock-hard,0,0,0,0,0,0,0,0,0,0
context-breaker,1,1,1,1,1,1,1,1,1,1
context-breaker-easy,1,1,1,1,1,1,1,1,1,1
context-breaker-hard,1,1,1,1,1,1,1,1,1,1
date,1,1,1,0,1,1,1,0,0,0
dateeasy,1,0,1,1,1,1,1,0,0,0
datehard,1,1,1,1,1,1,1,0,0,0
emoji-remember,0,0,0,0,0,0,0,0,0,0
emoji-remember-easy,0,0,1,0,1,0,0,0,0,0
emoji-remember-hard,0,0,0,0,0,0,0,0,0,0
file-credentials,0,0,0,0,0,0,0,0,0,0
file-credentials-easy,1,0,1,1,1,1,1,1,1,0
file-credentials-hard,0,0,0,0,0,0,0,0,0,0
file-upload,0,0,0,0,0,0,0,0,0,0
file-upload-hard,0,0,0,0,0,0,0,0,0,0
frog-crossing,0,0,0,0,0,0,0,0,0,0
frog-crossing-easy,0,0,0,0,0,0,0,0,0,0
frog-crossing-hard,0,0,0,0,0,0,0,0,0,0
herding,0,0,0,0,0,0,0,0,0,0
herding-easy,0,0,0,0,0,0,0,0,0,0
herding-hard,0,0,0,0,0,0,0,0,0,0
i-accept,1,0,1,1,1,1,1,1,1,1
i-accept-easy,1,1,1,1,1,1,1,1,1,1
i-accept-hard,0,0,1,1,0,0,1,1,0,0
iframe-nest,1,0,1,1,1,1,1,1,1,1
iframe-nest-easy,1,1,1,1,0,1,1,0,1,1
iframe-nest-hard,1,0,1,1,1,0,1,1,1,1
illegal-material,1,0,1,1,1,1,1,1,1,0
illegal-material-easy,1,1,1,1,1,1,1,1,1,1
illegal-material-hard,1,0,1,1,1,1,1,1,1,0
key-combo,1,1,1,1,1,1,1,0,0,0
key-combo-easy,1,1,1,1,1,1,1,0,0,0
key-combo-hard,1,1,1,1,1,1,1,0,0,0
ladybird,0,0,0,0,0,0,0,0,0,0
ladybird-easy,0,0,0,0,1,0,0,0,0,0
ladybird-hard,0,0,0,0,0,0,0,0,0,0
map-panner,0,0,1,0,0,0,0,0,0,0
map-panner-easy,0,1,0,0,0,0,0,0,0,0
map-panner-hard,0,0,0,0,0,0,0,0,0,0
maze-easy/*,1,1,1,1,1,1,1,1,0,0
maze-hard/*,1,0,1,0,0,1,0,0,0,0
maze/*,1,0,1,1,1,1,1,1,0,0
menu-navigator,1,0,0,0,1,0,0,1,0,0
menu-navigator-easy,1,0,1,0,1,1,1,1,1,0
menu-navigator-hard,1,0,1,0,1,0,1,0,0,0
otp-entry,1,0,1,1,1,1,1,1,1,0
otp-entry-easy,1,0,1,1,1,1,1,1,1,0
otp-entry-hard,1,0,1,0,0,0,0,0,0,0
patience,1,1,1,1,1,1,1,1,1,0
patience-easy,1,1,1,1,1,1,1,1,1,0
patience-hard,1,1,1,1,1,1,1,1,1,0
pixel-copy,0,0,0,0,0,0,0,0,0,0
pixel-copy-easy,1,0,0,0,0,0,0,0,0,0
pixel-copy-hard,0,0,0,0,0,0,0,0,0,0
popup-chaos,1,0,1,1,1,1,1,1,1,1
popup-chaos-easy,1,0,1,1,1,1,1,1,1,1
popup-chaos-hard,1,0,1,1,1,1,1,1,1,0
print-reveal,0,0,1,1,0,1,0,0,1,0
prompt-defender,1,1,0,0,0,0,0,0,0,0
prompt-defender-easy,1,1,1,1,1,1,1,1,1,1
prompt-defender-hard,1,1,0,0,1,0,0,0,0,0
recipe-calculator,1,0,1,1,0,0,0,0,0,0
recipe-calculator-easy,0,0,0,0,0,0,0,0,0,0
recipe-calculator-hard,0,0,0,0,0,0,0,0,0,0
resume-challenge,0,0,0,0,0,0,0,0,0,0
right-click,0,1,0,0,0,0,0,0,0,0
right-click-easy,0,1,0,0,0,0,0,0,0,0
right-click-hard,0,0,0,0,0,0,0,0,0,0
robo-check,0,0,0,0,0,0,1,0,0,0
robo-check-easy,0,0,0,0,0,0,0,0,0,0
robo-check-hard,0,0,0,0,0,0,0,0,0,0
scroll-diagonal,0,0,0,0,0,0,0,0,1,0
scroll-diagonal-easy,1,1,1,1,1,1,1,1,1,1
scroll-diagonal-hard,0,0,0,0,0,0,0,1,0,0
scroll-horizontal,0,0,0,0,0,0,0,0,0,0
scroll-horizontal-easy,0,1,0,0,0,0,0,0,0,0
scroll-horizontal-hard,0,1,0,0,0,0,0,0,0,0
scroll-vertical,1,1,1,1,1,1,1,1,0,1
scroll-vertical-easy,1,1,1,1,1,1,0,1,1,1
scroll-vertical-hard,1,1,1,1,1,1,0,1,0,0
shop-admin,1,0,1,1,1,1,1,0,0,0
shop-admin-easy,1,0,1,1,1,1,1,1,1,0
shop-admin-hard,0,0,0,0,0,0,0,0,0,0
shopping-challenge,0,0,0,0,0,0,0,0,0,0
shopping-challenge-easy,1,0,1,1,1,1,0,0,0,0
shopping-challenge-hard,0,0,0,0,0,0,0,0,0,0
slider-symphony,0,0,0,0,0,0,0,0,0,0
slider-symphony-easy,0,0,0,0,0,0,0,0,0,0
slider-symphony-hard,0,0,0,0,0,0,0,0,0,0
stock-market,1,0,1,1,1,0,0,0,0,0
stock-market-easy,1,1,1,1,1,1,1,1,1,1
stock-market-hard,1,1,1,1,1,1,1,0,0,0
tab-sync,1,1,1,1,1,1,1,1,1,0
text-mirror,1,0,1,1,1,1,1,0,0,0
text-mirror-easy,1,0,1,1,1,1,1,1,1,0
text-mirror-hard,0,0,0,0,0,0,0,0,0,0
towers-of-hanoi,0,0,0,0,0,0,0,0,0,0
towers-of-hanoi-easy,0,0,1,1,0,1,0,0,0,0
towers-of-hanoi-hard,0,0,0,0,0,0,0,0,0,0
verify-challenge,0,0,0,0,0,0,1,0,0,0
verify-challenge-easy,1,0,1,0,1,1,1,0,1,1
verify-challenge-hard,0,0,0,0,0,0,0,0,0,0
webgl-text,1,0,1,0,1,1,1,1,1,0
webgl-text-easy,1,0,1,1,1,1,1,1,1,0
webgl-text-hard,1,0,1,0,1,1,1,1,1,0
webs-assemble,1,0,1,1,1,1,1,1,1,1
wolf-goat-cabbage,1,0,1,1,0,0,0,0,0,0
wolf-goat-cabbage-easy,1,0,1,1,1,1,0,0,0,0
wolf-goat-cabbage-hard,0,0,0,1,0,0,0,0,0,0
